City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
129,bethel,90,US,10/4/2019,87,60.79,-161.76,48.2,14.99
130,shelopugino,97,RU,10/4/2019,41,51.65,117.56,41.33,9.55
131,mahajanga,20,MG,10/4/2019,65,-15.72,46.32,77,8.05
132,pisco,35,PE,10/4/2019,87,-13.71,-76.2,63,16.11
133,yarim,0,YE,10/4/2019,81,14.3,44.38,64.14,1.01
134,porto nacional,40,BR,10/4/2019,74,-10.7,-48.41,82.4,6.93
135,nikolskoye,90,RU,10/4/2019,86,59.7,30.79,39.2,6.71
136,havre-saint-pierre,90,CA,10/4/2019,60,50.23,-63.6,39.2,3.36
137,jieshi,0,CN,10/4/2019,65,22.82,115.83,84.99,1.01
138,zverinogolovskoye,76,RU,10/4/2019,84,54.46,64.85,51.4,6.29
139,agadez,1,NE,10/4/2019,17,16.97,7.99,89.6,3.36
140,blackwater,70,GB,10/4/2019,93,51.33,-0.78,57.2,9.17
141,guanica,98,PR,10/4/2019,82,17.97,-66.91,81,4.97
142,half moon bay,20,US,10/4/2019,82,37.46,-122.43,62.01,12.75
143,emerald,0,AU,10/4/2019,26,-23.53,148.16,80.6,10.29
144,faya,0,SA,10/4/2019,36,18.39,42.45,62.6,3.02
145,thompson,5,CA,10/4/2019,74,55.74,-97.86,37.4,2.24
146,west bay,75,CA,10/4/2019,87,49.34,-123.21,54,2.24
147,saint george,40,GR,10/4/2019,93,39.45,22.34,62.6,2.3
148,kudahuvadhoo,100,MV,10/4/2019,66,2.67,72.89,82.81,1.41
149,partizanskoye,86,RU,10/4/2019,41,53.35,78.35,47.47,12.62
150,sao jose da coroa grande,21,BR,10/4/2019,93,-8.9,-35.15,70.53,5.48
151,upernavik,92,GL,10/4/2019,76,72.79,-56.15,37.5,7.52
152,marolambo,96,MG,10/4/2019,97,-20.05,48.13,63.1,1.81
153,goma,36,CD,10/4/2019,92,-1.67,29.23,53.36,2.44
154,nadym,0,RU,10/4/2019,81,65.53,72.51,34.37,20.33
155,hithadhoo,81,MV,10/4/2019,79,-0.6,73.08,82.16,14.67
156,dingle,0,PH,10/4/2019,61,11,122.67,86.73,3.65
157,nemuro,75,JP,10/4/2019,93,43.32,145.57,62.6,4.7
158,buala,100,SB,10/4/2019,88,-8.15,159.59,77.08,5.23
159,tigil,69,RU,10/4/2019,54,57.8,158.67,39.91,3.49
160,urucui,0,BR,10/4/2019,51,-7.23,-44.56,79.12,2.73
161,kutum,94,SD,10/4/2019,64,14.2,24.66,72.69,3.65
162,taltal,0,CL,10/4/2019,87,-25.41,-70.49,49.34,1.32
163,dong hoi,87,VN,10/4/2019,63,17.48,106.6,84.34,4.21
164,fortuna,1,US,10/4/2019,82,40.6,-124.16,57,6.93
165,karratha,0,AU,10/4/2019,16,-20.74,116.85,95.14,21.36
166,ribnitz-damgarten,75,DE,10/4/2019,93,54.24,12.43,44.6,9.08
167,tateyama,100,JP,10/4/2019,96,36.66,137.31,69.01,23.13
168,qaanaaq,80,GL,10/4/2019,59,77.48,-69.36,27.8,7.09
169,palmer,0,AU,10/4/2019,26,-34.85,139.16,81,20.8
170,tiksi,100,RU,10/4/2019,87,71.64,128.87,24.76,26.73
171,xining,74,CN,10/4/2019,80,36.62,101.77,43.84,5.41
172,lasa,0,CY,10/4/2019,77,34.92,32.53,68,9.17
173,seoul,40,KR,10/4/2019,69,37.57,126.98,77,4.7
174,belmonte,2,PT,10/4/2019,75,40.36,-7.35,59,2.21
175,tolaga bay,0,NZ,10/4/2019,41,-38.37,178.3,55.39,5.75
176,pacific grove,1,US,10/4/2019,63,36.62,-121.92,63,9.17
177,castro,75,CL,10/4/2019,80,-42.48,-73.76,41,5.82
178,manoel urbano,10,BR,10/4/2019,75,-8.84,-69.26,75.89,2.71
179,manzhouli,17,CN,10/4/2019,32,49.6,117.43,44.41,11.27
180,novikovo,0,RU,10/4/2019,86,51.15,37.89,53.25,8.55
181,mecca,0,SA,10/4/2019,81,21.43,39.83,79.76,4.23
182,petropavlovsk-kamchatskiy,20,RU,10/4/2019,61,53.05,158.65,51.8,15.66
183,lagoa,0,PT,10/4/2019,72,37.14,-8.45,68,6.93
184,zhanaozen,0,KZ,10/4/2019,45,43.35,52.85,53.07,11.65
185,kabalo,85,CD,10/4/2019,92,-6.05,26.92,70.19,4.54
186,ahipara,0,NZ,10/4/2019,71,-35.17,173.16,64.99,11.32
187,cabedelo,75,BR,10/4/2019,83,-6.97,-34.84,77,10.29
188,balaka,25,MW,10/4/2019,97,-14.99,34.96,59.8,4.45
189,horadiz,86,AZ,10/4/2019,93,39.45,47.33,64.4,2.24
190,san quintin,0,PH,10/4/2019,68,17.54,120.52,83.96,4.47
191,kenai,75,US,10/4/2019,71,60.55,-151.26,51.8,4.7
192,nikel,55,NO,10/4/2019,80,69.41,30.21,33.8,10.29
193,atar,12,MR,10/4/2019,17,20.52,-13.05,86.48,11.97
194,yellowknife,20,CA,10/4/2019,66,62.45,-114.38,48.2,8.05
195,kostomuksha,100,RU,10/4/2019,85,64.59,30.6,30.05,7.92
196,severo-kurilsk,100,RU,10/4/2019,76,50.68,156.12,42.04,15.05
197,paujiles,100,HN,10/4/2019,97,15.1,-87.35,69.43,1.23
198,naberera,50,TZ,10/4/2019,87,-4.2,36.93,59.95,10.56
199,galich,100,RU,10/4/2019,94,58.38,42.35,48.82,9.37
200,honiara,90,SB,10/4/2019,79,-9.43,159.96,86,6.93
201,axim,100,GH,10/4/2019,90,4.87,-2.24,76.65,11.32
202,saskylakh,0,RU,10/4/2019,80,71.97,114.09,17.52,1.79
203,eau claire,90,US,10/4/2019,75,44.81,-91.5,46.4,3.36
204,cacimba de dentro,30,BR,10/4/2019,91,-6.64,-35.79,69.59,10.83
205,bridlington,100,GB,10/4/2019,100,54.08,-0.19,51.01,4.7
206,kanniyakumari,100,IN,10/4/2019,78,8.08,77.57,81.13,9.28
207,morehead,90,US,10/4/2019,65,38.18,-83.43,84.2,9.17
208,makubetsu,75,JP,10/4/2019,100,42.84,143.34,62.6,2.24
209,houma,100,CN,10/4/2019,79,35.63,111.36,67.63,7.74
210,hattiesburg,75,US,10/4/2019,58,31.33,-89.29,84.2,5.82
211,peleduy,100,RU,10/4/2019,98,59.63,112.75,36.53,8.95
212,grand gaube,75,MU,10/4/2019,94,-20.01,57.66,73.4,13.87
213,sagua la grande,75,CU,10/4/2019,94,22.81,-80.07,73.4,5.82
214,maamba,0,ZM,10/4/2019,79,-17.36,27.22,65.02,5.7
215,hilo,75,US,10/4/2019,66,19.71,-155.08,84.2,6.93
216,okato,0,NZ,10/4/2019,61,-39.19,173.88,53.01,11.01
217,saldanha,0,PT,10/4/2019,91,41.42,-6.55,58.65,1.95
218,portland,90,US,10/4/2019,70,43.66,-70.25,50,4.56
219,xuanzhou,4,CN,10/4/2019,50,30.95,118.78,87.14,6.26
220,bubaque,100,GW,10/4/2019,83,11.28,-15.83,80.05,5.48
221,strezhevoy,75,RU,10/4/2019,93,60.73,77.6,44.6,8.95
222,verkhnevilyuysk,100,RU,10/4/2019,94,63.45,120.31,33.94,2.91
223,te anau,100,NZ,10/4/2019,85,-45.41,167.72,46.45,9.48
224,namibe,13,AO,10/4/2019,78,-15.19,12.15,65.65,7.38
225,george town,75,MY,10/4/2019,78,5.42,100.33,82.4,6.93
226,marystown,0,CA,10/4/2019,73,47.17,-55.16,40.81,15.79
227,pundaguitan,0,PH,10/4/2019,73,6.37,126.17,81.87,5.23
